# REF_L Run 199431
# X Y dY dX
0.0636962 8.49715e-05 8.50064e-06 0.00176481
0.0649701 0.000101347 9.38462e-06 0.00180011
0.0662695 9.3148e-05 9.13383e-06 0.00183611
0.0675949 6.99386e-05 8.16818e-06 0.00187283
0.0689468 6.75846e-05 6.83163e-06 0.00191029
0.0703257 5.01993e-05 6.87455e-06 0.0019485
0.0717322 6.03424e-05 6.87586e-06 0.00198747
0.0731669 4.13657e-05 6.63541e-06 0.00202722
0.0746302 3.66653e-05 5.34048e-06 0.00206776
0.0761228 3.22274e-05 5.50977e-06 0.00210912
0.0776453 1.80972e-05 5.21659e-06 0.0021513
0.0791982 1.27745e-05 3.74326e-06 0.00219432
0.0807822 1.63286e-05 3.74748e-06 0.00223821
0.0823978 1.03538e-05 3.68122e-06 0.00228297
0.0840458 2.10967e-06 3.84481e-06 0.00232863
0.0857267 -1.28473e-06 4.13011e-06 0.00237521
0.0874412 5.66218e-06 3.5713e-06 0.00242271
0.08919 2.61058e-06 1.79878e-06 0.00247116
0.0909738 2.88919e-06 1.83366e-06 0.00251324
0.0927933 5.78748e-06 2.10224e-06 0.002571
0.0946492 7.87261e-06 2.03394e-06 0.00262242
0.0965422 9.89828e-06 2.20829e-06 0.00267487
0.098473 1.02353e-05 2.51792e-06 0.00272837
0.100442 1.24558e-05 1.42687e-06 0.00277481
0.102451 1.44446e-05 1.55143e-06 0.00283031
0.1045 1.67645e-05 1.56414e-06 0.00288692
0.10659 1.61996e-05 1.55477e-06 0.00294466
0.108722 1.68348e-05 1.60346e-06 0.00300355
0.110897 1.67518e-05 1.54084e-06 0.00306362
0.113115 1.3991e-05 1.4417e-06 0.00312489
0.115377 1.39392e-05 1.40647e-06 0.00318739
0.117684 1.17886e-05 1.29619e-06 0.00325114
0.120038 9.44228e-06 1.11778e-06 0.00331616
0.122439 8.06889e-06 1.06864e-06 0.00338248
0.124888 8.06038e-06 1.07926e-06 0.00345013
0.127385 3.55174e-06 9.98195e-07 0.00351914
0.129933 1.64966e-06 8.92576e-07 0.00358952
0.132532 3.68196e-06 9.32116e-07 0.00366131
0.135182 6.55267e-07 8.38771e-07 0.00373454
0.137886 1.5948e-06 8.1304e-07 0.00380923
0.140644 3.79383e-07 8.64568e-07 0.00388541
0.143457 8.40971e-07 8.96917e-07 0.00396312
0.146326 1.94457e-06 8.4924e-07 0.00404238
0.149252 1.02449e-06 8.8365e-07 0.00412323
0.152237 1.34112e-06 8.66691e-07 0.00420569
0.155282 2.80152e-06 8.81115e-07 0.00428981
0.158388 1.94956e-06 8.44809e-07 0.0043756
0.161555 3.09861e-06 9.14124e-07 0.00446312
0.164786 2.48137e-06 8.53248e-07 0.00455238
0.168082 1.96355e-06 7.95597e-07 0.00464343
0.171444 1.42528e-06 8.8485e-07 0.00473629
0.174873 1.84557e-06 9.17479e-07 0.00483102
0.17837 1.97935e-06 8.61012e-07 0.00492764
0.181938 4.80371e-07 8.71093e-07 0.00502619
0.185576 3.95771e-07 8.25337e-07 0.00512672
0.189288 4.79765e-08 8.44771e-07 0.00522925
